"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
0,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.0625,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.125,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.1875,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.25,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.3125,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.375,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.4375,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.5,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.5625,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.625,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.6875,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.75,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.8125,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.875,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
0.9375,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
1,16,0.7667,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6935,0.6313,0.0076
1.0625,16.0625,0.7486,0,0.0289,0.0135,0.6912,0.0362,0.2565,0.201,0.0213,0.7115,0.6346,0.0076
1.125,16.125,0.7306,0,0.0296,0.0134,0.7115,0.0364,0.2612,0.2055,0.0212,0.7296,0.638,0.0076
1.1875,16.1875,0.7125,0,0.0302,0.0133,0.7321,0.0367,0.266,0.2101,0.0211,0.7476,0.6413,0.0076
1.25,16.25,0.6944,0,0.0308,0.0132,0.753,0.0369,0.2708,0.2146,0.021,0.7657,0.6445,0.0076
1.3125,16.3125,0.6764,0,0.0315,0.0131,0.7742,0.0371,0.2756,0.2192,0.0209,0.7837,0.6477,0.0076
1.375,16.375,0.6583,0,0.0321,0.013,0.7958,0.0373,0.2804,0.2237,0.0208,0.8016,0.6509,0.0076
1.4375,16.4375,0.6403,0,0.0328,0.013,0.8177,0.0375,0.2852,0.2283,0.0207,0.8195,0.654,0.0076
1.5,16.5,0.6222,0,0.0335,0.0129,0.84,0.0378,0.29,0.2329,0.0206,0.8373,0.6571,0.0076
1.5625,16.5625,0.6042,0,0.0342,0.0129,0.8626,0.038,0.2948,0.2374,0.0205,0.855,0.6602,0.0076
