"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
0,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.0625,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.125,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.1875,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.25,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.3125,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.375,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.4375,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.5,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.5625,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.625,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.6875,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.75,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.8125,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.875,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
0.9375,16,0.6747,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.6568,0.6313,0
