"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
0,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.0625,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.125,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.1875,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.25,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.3125,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.375,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.4375,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.5,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.5625,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.625,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.6875,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.75,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.8125,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.875,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
0.9375,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
1,16,0.8718,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.5424,0.6313,0
1.0625,16.0625,0.8654,0,0.0289,0.0135,0.6912,0.0362,0.2565,0.201,0.0213,0.5486,0.6346,0
1.125,16.125,0.859,0,0.0296,0.0134,0.7115,0.0364,0.2612,0.2055,0.0212,0.5547,0.638,0
1.1875,16.1875,0.8526,0,0.0302,0.0133,0.7321,0.0367,0.266,0.2101,0.0211,0.5609,0.6413,0
1.25,16.25,0.8462,0,0.0308,0.0132,0.753,0.0369,0.2708,0.2146,0.021,0.5672,0.6445,0
1.3125,16.3125,0.8397,0,0.0315,0.0131,0.7742,0.0371,0.2756,0.2192,0.0209,0.5734,0.6477,0
1.375,16.375,0.8333,0,0.0321,0.013,0.7958,0.0373,0.2804,0.2237,0.0208,0.5796,0.6509,0
1.4375,16.4375,0.8269,0,0.0328,0.013,0.8177,0.0375,0.2852,0.2283,0.0207,0.5859,0.654,0
1.5,16.5,0.8205,0,0.0335,0.0129,0.84,0.0378,0.29,0.2329,0.0206,0.5922,0.6571,0
1.5625,16.5625,0.8141,0,0.0342,0.0129,0.8626,0.038,0.2948,0.2374,0.0205,0.5985,0.6602,0
1.625,16.625,0.8077,0,0.0348,0.0129,0.8855,0.0382,0.2997,0.242,0.0204,0.6048,0.6632,0
1.6875,16.6875,0.8013,0,0.0355,0.0129,0.9087,0.0384,0.3045,0.2465,0.0203,0.6111,0.6662,0
1.75,16.75,0.7949,0,0.0362,0.013,0.9323,0.0386,0.3094,0.2511,0.0202,0.6174,0.6692,0
