"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
0,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.0625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.1875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.25,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.3125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.4375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.5,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.5625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.6875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.75,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.8125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
0.9375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.0625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.1875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.25,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.3125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.4375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.5,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.5625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.6875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.75,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.8125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
1.9375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.0625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.1875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.25,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.3125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.4375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.5,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.5625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.625,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.6875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.75,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.8125,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.875,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
2.9375,16,1,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.4532,0.6313,0
