"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
179.5,19.0759,0.683,0,0.0648,0.0223,2.0419,0.0479,0.4947,0.4206,0.0187,0.5996,0.7548,0
179.5625,19.0854,0.6823,0,0.0649,0.0224,2.0473,0.048,0.4955,0.4213,0.0187,0.6004,0.7551,0
179.625,19.0954,0.6817,0,0.0651,0.0224,2.053,0.048,0.4963,0.4221,0.0187,0.601,0.7553,0
179.6875,19.106,0.6812,0,0.0652,0.0225,2.0591,0.0481,0.4971,0.4228,0.0187,0.6015,0.7556,0
179.75,19.1172,0.6807,0,0.0654,0.0226,2.0655,0.0481,0.498,0.4236,0.0187,0.6019,0.7559,0
179.8125,19.1289,0.6804,0,0.0655,0.0227,2.0722,0.0482,0.499,0.4245,0.0187,0.6023,0.7562,0
179.875,19.1412,0.6802,0,0.0657,0.0227,2.0793,0.0482,0.5,0.4254,0.0186,0.6025,0.7565,0
179.9375,19.154,0.68,0,0.0658,0.0228,2.0867,0.0483,0.501,0.4263,0.0186,0.6026,0.7569,0
180,19.1674,0.68,0,0.066,0.0229,2.0944,0.0483,0.5021,0.4273,0.0186,0.6027,0.7572,0
180.0625,19.1814,0.68,0,0.0662,0.023,2.1025,0.0484,0.5032,0.4283,0.0186,0.6027,0.7576,0
180.125,19.1959,0.6802,0,0.0664,0.0231,2.1109,0.0485,0.5044,0.4294,0.0186,0.6025,0.758,0
180.1875,19.2109,0.6804,0,0.0666,0.0232,2.1196,0.0485,0.5056,0.4305,0.0186,0.6023,0.7584,0
180.25,19.2266,0.6807,0,0.0668,0.0233,2.1287,0.0486,0.5068,0.4316,0.0186,0.602,0.7588,0
180.3125,19.2427,0.6811,0,0.067,0.0234,2.1381,0.0487,0.5081,0.4328,0.0186,0.6015,0.7592,0
180.375,19.2595,0.6817,0,0.0672,0.0235,2.1479,0.0487,0.5095,0.434,0.0186,0.601,0.7596,0
180.4375,19.2768,0.6823,0,0.0675,0.0236,2.158,0.0488,0.5108,0.4353,0.0186,0.6004,0.7601,0
180.5,19.2946,0.683,0,0.0677,0.0238,2.1685,0.0489,0.5123,0.4366,0.0186,0.5997,0.7605,0
180.5625,19.3125,0.6837,0,0.0679,0.0239,2.179,0.049,0.5137,0.4379,0.0186,0.599,0.761,0
180.625,19.3304,0.6845,0,0.0682,0.024,2.1895,0.0491,0.5151,0.4392,0.0186,0.5982,0.7614,0
180.6875,19.3482,0.6852,0,0.0684,0.0241,2.2,0.0491,0.5166,0.4405,0.0186,0.5974,0.7619,0
180.75,19.3661,0.686,0,0.0686,0.0242,2.2106,0.0492,0.518,0.4418,0.0186,0.5967,0.7623,0
180.8125,19.3839,0.6868,0,0.0689,0.0243,2.2211,0.0493,0.5194,0.4431,0.0185,0.5959,0.7628,0
180.875,19.4018,0.6876,0,0.0691,0.0245,2.2317,0.0494,0.5209,0.4444,0.0185,0.595,0.7632,0
180.9375,19.4196,0.6885,0,0.0693,0.0246,2.2424,0.0495,0.5223,0.4457,0.0185,0.5942,0.7636,0
181,19.4375,0.6894,0,0.0696,0.0247,2.253,0.0495,0.5237,0.447,0.0185,0.5933,0.7641,0
181.0625,19.4554,0.6902,0,0.0698,0.0248,2.2637,0.0496,0.5252,0.4483,0.0185,0.5925,0.7645,0
181.125,19.4732,0.6911,0,0.07,0.025,2.2744,0.0497,0.5266,0.4496,0.0185,0.5916,0.7649,0
181.1875,19.4911,0.6921,0,0.0703,0.0251,2.2851,0.0498,0.528,0.4509,0.0185,0.5906,0.7654,0
181.25,19.5089,0.693,0,0.0705,0.0252,2.2959,0.0499,0.5294,0.4522,0.0185,0.5897,0.7658,0
181.3125,19.5268,0.6939,0,0.0707,0.0253,2.3066,0.0499,0.5309,0.4535,0.0185,0.5888,0.7662,0
181.375,19.5446,0.6949,0,0.071,0.0254,2.3174,0.05,0.5323,0.4548,0.0185,0.5878,0.7666,0
181.4375,19.5625,0.6959,0,0.0712,0.0256,2.3282,0.0501,0.5337,0.4561,0.0185,0.5868,0.767,0
181.5,19.5804,0.6969,0,0.0714,0.0257,2.3391,0.0502,0.5352,0.4574,0.0185,0.5858,0.7674,0
181.5625,19.5988,0.6978,0,0.0717,0.0258,2.3503,0.0503,0.5366,0.4588,0.0184,0.5849,0.7679,0
181.625,19.6177,0.6985,0,0.0719,0.0259,2.3618,0.0504,0.5381,0.4601,0.0184,0.5842,0.7683,0
181.6875,19.6373,0.6991,0,0.0722,0.0261,2.3737,0.0505,0.5397,0.4616,0.0184,0.5836,0.7687,0
181.75,19.6574,0.6995,0,0.0725,0.0262,2.386,0.0505,0.5413,0.463,0.0184,0.5832,0.7692,0
181.8125,19.678,0.6998,0,0.0727,0.0264,2.3987,0.0506,0.543,0.4645,0.0184,0.5829,0.7697,0
181.875,19.6992,0.7,0,0.073,0.0265,2.4117,0.0507,0.5446,0.4661,0.0184,0.5828,0.7701,0
181.9375,19.721,0.7,0,0.0733,0.0267,2.4252,0.0508,0.5464,0.4677,0.0184,0.5828,0.7706,0
182,19.7433,0.6998,0,0.0736,0.0268,2.4389,0.0509,0.5482,0.4693,0.0184,0.5829,0.7711,0
182.0625,19.7662,0.6995,0,0.0739,0.027,2.4531,0.0511,0.55,0.471,0.0184,0.5832,0.7716,0
182.125,19.7896,0.6991,0,0.0742,0.0271,2.4677,0.0512,0.5518,0.4727,0.0184,0.5837,0.7721,0
182.1875,19.8136,0.6985,0,0.0745,0.0273,2.4826,0.0513,0.5538,0.4744,0.0183,0.5843,0.7726,0
182.25,19.8382,0.6977,0,0.0748,0.0275,2.4979,0.0514,0.5557,0.4762,0.0183,0.585,0.7732,0
182.3125,19.8633,0.6969,0,0.0752,0.0277,2.5137,0.0515,0.5577,0.478,0.0183,0.5859,0.7737,0
