"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
0,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.0625,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.125,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.1875,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.25,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.3125,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.375,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.4375,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.5,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.5625,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.625,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.6875,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.75,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.8125,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.875,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
0.9375,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
1,13,0.5532,0,0.0064,0.0511,0.077,0.0271,0.0427,-0.0223,0.0366,0.6374,0.423,0
1.0625,13.3125,0.5578,0,0.0079,0.0439,0.1088,0.0279,0.0624,5e-04,0.0339,0.6328,0.4492,0
1.125,13.625,0.5625,0,0.0096,0.0375,0.1468,0.0288,0.0827,0.0233,0.0316,0.6281,0.4743,0
1.1875,13.9375,0.5672,0,0.0115,0.032,0.1914,0.0297,0.1034,0.046,0.0295,0.6235,0.4983,0
1.25,14.25,0.5718,0,0.0135,0.0274,0.243,0.0305,0.1247,0.0688,0.0277,0.6188,0.5213,0
1.3125,14.5625,0.5765,0,0.0158,0.0234,0.3017,0.0315,0.1464,0.0916,0.0262,0.6142,0.5432,0
1.375,14.875,0.5811,0,0.0182,0.0202,0.3679,0.0324,0.1686,0.1144,0.0248,0.6095,0.5641,0
1.4375,15.1875,0.5858,0,0.0208,0.0177,0.4418,0.0334,0.1912,0.1372,0.0237,0.6049,0.5841,0
1.5,15.5,0.5904,0,0.0235,0.0157,0.5236,0.0344,0.2142,0.16,0.0227,0.6002,0.603,0
1.5625,15.8125,0.5951,0,0.0265,0.0143,0.6135,0.0354,0.2375,0.1827,0.0219,0.5956,0.621,0
1.625,16.125,0.5997,0,0.0296,0.0134,0.7115,0.0364,0.2612,0.2055,0.0212,0.5909,0.638,0
1.6875,16.4375,0.6044,0,0.0328,0.013,0.8177,0.0375,0.2852,0.2283,0.0207,0.5863,0.654,0
1.75,16.75,0.609,0,0.0362,0.013,0.9323,0.0386,0.3094,0.2511,0.0202,0.5816,0.6692,0
1.8125,17.0625,0.6137,0,0.0397,0.0133,1.0552,0.0398,0.3339,0.2739,0.0199,0.577,0.6834,0
1.875,17.375,0.6184,0,0.0434,0.0141,1.1863,0.041,0.3585,0.2966,0.0196,0.5723,0.6968,0
1.9375,17.6875,0.623,0,0.0471,0.0151,1.3258,0.0422,0.3834,0.3194,0.0193,0.5677,0.7093,0
2,18,0.6277,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.563,0.721,0
2.0625,17.875,0.619,0,0.0495,0.0158,1.4133,0.0429,0.3983,0.3331,0.0192,0.5716,0.7164,0
2.125,17.75,0.6104,0,0.0479,0.0153,1.3546,0.0424,0.3884,0.324,0.0193,0.5803,0.7117,0
2.1875,17.625,0.6017,0,0.0464,0.0148,1.2972,0.0419,0.3784,0.3149,0.0194,0.5889,0.7069,0
2.25,17.5,0.5931,0,0.0449,0.0144,1.2411,0.0414,0.3685,0.3058,0.0195,0.5976,0.7019,0
2.3125,17.375,0.5844,0,0.0434,0.0141,1.1863,0.041,0.3585,0.2966,0.0196,0.6062,0.6968,0
2.375,17.25,0.5758,0,0.0419,0.0137,1.1329,0.0405,0.3487,0.2875,0.0197,0.6149,0.6916,0
2.4375,17.125,0.5672,0,0.0405,0.0135,1.0807,0.04,0.3388,0.2784,0.0198,0.6235,0.6862,0
2.5,17,0.5585,0,0.039,0.0132,1.0299,0.0396,0.329,0.2693,0.0199,0.6321,0.6807,0
2.5625,16.875,0.5499,0,0.0376,0.0131,0.9804,0.0391,0.3192,0.2602,0.0201,0.6407,0.675,0
2.625,16.75,0.5412,0,0.0362,0.013,0.9323,0.0386,0.3094,0.2511,0.0202,0.6494,0.6692,0
2.6875,16.625,0.5326,0,0.0348,0.0129,0.8855,0.0382,0.2997,0.242,0.0204,0.658,0.6632,0
2.75,16.5,0.5239,0,0.0335,0.0129,0.84,0.0378,0.29,0.2329,0.0206,0.6665,0.6571,0
2.8125,16.375,0.5153,0,0.0321,0.013,0.7958,0.0373,0.2804,0.2237,0.0208,0.6751,0.6509,0
2.875,16.25,0.5066,0,0.0308,0.0132,0.753,0.0369,0.2708,0.2146,0.021,0.6837,0.6445,0
2.9375,16.125,0.498,0,0.0296,0.0134,0.7115,0.0364,0.2612,0.2055,0.0212,0.6922,0.638,0
3,16,0.4894,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.7007,0.6313,0
3.0625,15.9375,0.4874,0,0.0277,0.0139,0.6517,0.0358,0.247,0.1918,0.0216,0.7027,0.6279,0
3.125,15.875,0.4854,0,0.0271,0.0141,0.6324,0.0356,0.2422,0.1873,0.0217,0.7046,0.6244,0
3.1875,15.8125,0.4834,0,0.0265,0.0143,0.6135,0.0354,0.2375,0.1827,0.0219,0.7066,0.621,0
3.25,15.75,0.4814,0,0.0259,0.0145,0.5949,0.0352,0.2328,0.1782,0.022,0.7085,0.6174,0
3.3125,15.6875,0.4794,0,0.0253,0.0148,0.5766,0.035,0.2282,0.1736,0.0222,0.7105,0.6139,0
3.375,15.625,0.4774,0,0.0247,0.0151,0.5586,0.0348,0.2235,0.1691,0.0224,0.7125,0.6103,0
3.4375,15.2098,0.5528,0,0.021,0.0175,0.4474,0.0334,0.1928,0.1388,0.0236,0.6379,0.5854,0
3.5,15.2188,0.5521,0,0.021,0.0174,0.4497,0.0335,0.1935,0.1394,0.0236,0.6385,0.586,0
3.5625,15.2271,0.5514,0,0.0211,0.0174,0.4518,0.0335,0.1941,0.1401,0.0235,0.6392,0.5865,0
3.625,15.2349,0.5508,0,0.0212,0.0173,0.4537,0.0335,0.1947,0.1406,0.0235,0.6399,0.587,0
3.6875,15.2422,0.5501,0,0.0212,0.0173,0.4556,0.0335,0.1952,0.1412,0.0235,0.6405,0.5874,0
3.75,15.2489,0.5494,0,0.0213,0.0172,0.4573,0.0336,0.1957,0.1416,0.0235,0.6412,0.5879,0
3.8125,15.255,0.5487,0,0.0213,0.0172,0.4588,0.0336,0.1961,0.1421,0.0234,0.6419,0.5882,0
3.875,15.2606,0.548,0,0.0214,0.0171,0.4603,0.0336,0.1965,0.1425,0.0234,0.6426,0.5886,0
3.9375,15.2656,0.5473,0,0.0214,0.0171,0.4615,0.0336,0.1969,0.1429,0.0234,0.6433,0.5889,0
4,15.2701,0.5466,0,0.0215,0.0171,0.4627,0.0336,0.1972,0.1432,0.0234,0.644,0.5892,0
4.0625,15.274,0.5458,0,0.0215,0.0171,0.4637,0.0336,0.1975,0.1435,0.0234,0.6447,0.5894,0
4.125,15.2773,0.5451,0,0.0215,0.017,0.4645,0.0337,0.1978,0.1437,0.0234,0.6455,0.5896,0
4.1875,15.2801,0.5444,0,0.0216,0.017,0.4653,0.0337,0.198,0.1439,0.0234,0.6462,0.5898,0
4.25,15.2824,0.5437,0,0.0216,0.017,0.4658,0.0337,0.1981,0.1441,0.0234,0.6469,0.5899,0
4.3125,15.284,0.5429,0,0.0216,0.017,0.4663,0.0337,0.1983,0.1442,0.0233,0.6477,0.59,0
4.375,15.2852,0.5422,0,0.0216,0.017,0.4666,0.0337,0.1983,0.1443,0.0233,0.6484,0.5901,0
4.4375,15.2857,0.5414,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6492,0.5901,0
4.5,15.2857,0.5407,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6499,0.5901,0
4.5625,15.2829,0.5399,0,0.0216,0.017,0.466,0.0337,0.1982,0.1441,0.0234,0.6506,0.5899,0
4.625,15.2773,0.5393,0,0.0215,0.017,0.4645,0.0337,0.1978,0.1437,0.0234,0.6513,0.5896,0
4.6875,15.269,0.5387,0,0.0215,0.0171,0.4624,0.0336,0.1972,0.1431,0.0234,0.6519,0.5891,0
4.75,15.2578,0.5381,0,0.0214,0.0172,0.4596,0.0336,0.1963,0.1423,0.0234,0.6525,0.5884,0
4.8125,15.2439,0.5376,0,0.0212,0.0173,0.456,0.0336,0.1953,0.1413,0.0235,0.653,0.5875,0
4.875,15.2271,0.5371,0,0.0211,0.0174,0.4518,0.0335,0.1941,0.1401,0.0235,0.6535,0.5865,0
4.9375,15.2076,0.5367,0,0.0209,0.0175,0.4469,0.0334,0.1927,0.1386,0.0236,0.6539,0.5853,0
5,15.1853,0.5363,0,0.0207,0.0177,0.4413,0.0334,0.191,0.137,0.0237,0.6543,0.5839,0
5.0625,15.1602,0.536,0,0.0205,0.0179,0.4351,0.0333,0.1892,0.1352,0.0238,0.6546,0.5824,0
5.125,15.1323,0.5357,0,0.0203,0.0181,0.4282,0.0332,0.1872,0.1331,0.0239,0.6549,0.5806,0
5.1875,15.1016,0.5354,0,0.02,0.0183,0.4207,0.0331,0.185,0.1309,0.024,0.6551,0.5787,0
5.25,15.0681,0.5352,0,0.0197,0.0186,0.4127,0.033,0.1825,0.1285,0.0241,0.6553,0.5766,0
5.3125,15.0318,0.5351,0,0.0194,0.0189,0.404,0.0329,0.1799,0.1258,0.0242,0.6555,0.5743,0
5.375,14.9927,0.535,0,0.0191,0.0192,0.3949,0.0328,0.1771,0.123,0.0244,0.6555,0.5718,0
5.4375,14.9509,0.535,0,0.0188,0.0195,0.3852,0.0326,0.1741,0.1199,0.0245,0.6556,0.5691,0
5.5,14.9062,0.535,0,0.0184,0.0199,0.375,0.0325,0.1708,0.1167,0.0247,0.6556,0.5662,0
5.5625,14.8633,0.5349,0,0.0181,0.0203,0.3653,0.0324,0.1678,0.1135,0.0249,0.6556,0.5634,0
