"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
0,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.0625,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.125,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.1875,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.25,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.3125,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.375,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.4375,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.5,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.5625,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.625,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.6875,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.75,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.8125,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.875,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
0.9375,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
1,15,0.5909,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6754,0.5722,0
1.0625,15,0.5959,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6704,0.5722,0
1.125,15,0.6009,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6655,0.5722,0
1.1875,15,0.6058,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6605,0.5722,0
1.25,15,0.6108,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6555,0.5722,0
1.3125,15,0.6158,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6506,0.5722,0
1.375,15,0.6207,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6456,0.5722,0
1.4375,15,0.6257,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6406,0.5722,0
1.5,15,0.6307,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6357,0.5722,0
1.5625,15,0.6357,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6307,0.5722,0
1.625,15,0.6406,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6257,0.5722,0
1.6875,15,0.6456,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.6207,0.5722,0
