Municipality,Parish,Municipality (ID 2),Parish (ID 3),Cases (mean),popden_mean,altitude_mean,fcover_mean,Cropland,Mixed,Vegetation,Urban,Bare,Shores,cmi_all_mean,cmi_jan_mean,cmi_fev_mean,cmi_mar_mean,cmi_abr_mean,cmi_may_mean,cmi_jun_mean,cmi_jul_mean,cmi_ago_mean,cmi_set_mean,cmi_oct_mean,cmi_nov_mean,cmi_dez_mean,hurs_all_mean,hurs_jan_mean,hurs_fev_mean,hurs_mar_mean,hurs_abr_mean,hurs_may_mean,hurs_jun_mean,hurs_jul_mean,hurs_ago_mean,hurs_set_mean,________________october,november,HD,pr_all_mean,pr_jan_mean,pr_fev_mean,pr_mar_mean,pr_abr_mean,pr_may_mean,pr_jun_mean,pr_jul_mean,pr_ago_mean,pr_set_mean,pr_oct_mean,pr_nov_mean,pr_dez_mean,Wall,WJ,WF,WM,WA,WM,WJ,WJ,WA,WS,WO,WN,WD,maxtemp_all_mean,maxtemp_jan_mean,maxtemp_fev_mean,maxtemp_mar_mean,maxtemp_abr_mean,maxtemp_may_mean,maxtemp_jun_mean,maxtemp_jul_mean,maxtemp_ago_mean,maxtemp_set_mean,maxtemp_oct_mean,maxtemp_nov_mean,maxtemp_dez_mean,mintemp_all_mean,mintemp_jan_mean,mintemp_fev_mean,mintemp_mar_mean,mintemp_abr_mean,mintemp_may_mean,mintemp_jun_mean,mintemp_jul_mean,mintemp_ago_mean,mintemp_set_mean,mintemp_oct_mean,mintemp_nov_mean,mintemp_dez_mean,temp_all_mean,temp_jan_mean,temp_fev_mean,temp_mar_mean,temp_abr_mean,temp_may_mean,temp_jun_mean,temp_jul_mean,temp_ago_mean,temp_set_mean,temp_oct_mean,temp_nov_mean,temp_dez_mean
Calheta,3a,182,2542,0,724.0329494,242,0.356000006,0,0.21875,0.28125,0.125,0.03125,0.34375,66.4766668,190.5200012,181.1200012,112.8000015,59.18000031,-38.36000061,-105.9,-162.5600006,-151.6399994,-22.46000023,147.3800018,245.7399963,341.9,0.621086666,0.606759989,0.616079998,0.615639997,0.615779996,0.627179992,0.633860004,0.62392,0.623799992,0.624240005,0.627880001,0.616320002,0.621580017,194.7866675,275.2799988,276.8200012,235.1800018,199.1399994,112.2,52.12000046,12.23999996,16.13999996,118.4800003,272.1000061,338.1200012,429.6200012,3.307299987,3.342399979,3.375599957,3.557000017,3.479399967,3.336600018,3.203199959,3.493599987,3.197599936,2.808600044,3.025400019,3.327399969,3.540799999,18.53000015,15.87000027,15.61000004,16.03000031,16.18999977,17.42999992,19.53000069,21.35000038,22.32999992,22.05000038,20.45000038,18.57000008,16.94999962,16.62833335,14.30999985,13.85,14.07000008,14.31000004,15.47000008,17.43000031,19.02999992,20.07000046,20.03000031,18.67000008,16.90999947,15.38999958,17.52333336,15.08999996,14.68999996,14.98999996,15.22999992,16.40999985,18.41000023,20.04999962,21.07000046,20.95,19.50999985,17.71000042,16.17000008
Calheta,1,182,2543,0,29.31823418,708.1162791,0.627034506,0.045454545,0.136363636,0.678977273,0.017045455,0,0.122159091,92.95238048,229.7510206,219.920408,149.9734683,87.71020375,-22.36938783,-99.10000034,-164.1510209,-144.6306121,0.975510032,184.3959189,286.5387741,386.4142833,0.638362074,0.638734693,0.635126529,0.619279595,0.639738773,0.647116327,0.643320407,0.612063269,0.625148981,0.646561219,0.657493878,0.641438774,0.654322448,210.8056124,297.6367356,301.2387764,257.9081623,216.283674,121.6632659,59.41020428,15.86326527,19.84897974,128.5102045,291.9428577,362.1285712,457.2326523,4.477729591,4.545836726,4.584387745,4.82761223,4.676714289,4.473571422,4.285102037,4.735530639,4.351122472,3.820204073,4.12171429,4.52602041,4.784938764,16.99965979,13.94795912,13.69897957,14.26428579,14.39693881,15.83163254,18.66836739,21.09081572,21.63163259,20.47244882,18.55204082,16.52551024,14.91530613,15.14523808,12.37653069,11.96428569,12.35408162,12.52346934,13.94183675,16.64183669,18.88673471,19.48877541,18.55816312,16.81938783,14.84387758,13.3438776,16.0244898,13.14591838,12.79897962,13.26224481,13.41938778,14.84387758,17.58877548,19.8928571,20.45408159,19.43367339,17.6479592,15.65408171,14.15204089
Calheta,4,182,2544,0,78.43076584,743,0.440631598,0.086705202,0.294797688,0.572254335,0.023121387,0,0.023121387,112.3838886,258.7866669,247.55,171.3166651,107.9933324,-9.406666541,-93.93000005,-164.8166667,-147.0466672,10.43999988,210.1133321,321.8666672,435.7400004,0.631353055,0.63945333,0.631249998,0.613813333,0.632286662,0.637396669,0.627879997,0.593086676,0.609086665,0.63750333,0.655423331,0.640883332,0.658173333,234.864166,332.2166667,335.4233297,285.4833338,240.7799993,135.7833333,64.96999995,16.72999999,21.76000004,144.4966654,325.7733337,403.0733337,511.8799967,3.507794446,3.564200004,3.591533351,3.7785333,3.685633318,3.526566688,3.373066672,3.68593332,3.383700037,2.979966688,3.219566671,3.539700023,3.765133286,16.76194446,13.44666672,13.28000002,13.96333338,14.09333331,15.65333328,18.67999999,21.30999997,21.75333354,20.32666683,18.19333324,16.04666656,14.39666672,14.57138888,11.67999996,11.30000003,11.73333337,11.89333331,13.38333337,16.19999987,18.56333332,19.08333352,18.02666664,16.19666656,14.1666666,12.63000005,15.59638886,12.5566666,12.25666672,12.77333339,12.94999997,14.43999993,17.34999994,19.7733331,20.25666676,19.05,17.13666665,15.07999999,13.53333327
Funchal,7,183,2545,190.65,5175.789388,99.83333333,0.210666671,0,0,0,1,0,0,28.95833309,138.3500023,128.5499992,58.09999943,10.125,-64.72500134,-113.7750015,-155.875,-139.4250031,-31.94999981,100.7250004,173.7000008,243.7000008,0.601899999,0.599975005,0.607524991,0.608225018,0.590800002,0.595174998,0.600599989,0.599299997,0.597975001,0.598525003,0.604699999,0.60572499,0.614274994,143.7874995,202.4000015,206.5249977,166.5750008,140.8499985,82.80000114,41.19999981,11.85000014,18.25,95.64999962,206.6249962,246.2000046,306.5249939,1.529416673,1.658499986,1.625750005,1.682999998,1.579750001,1.464249969,1.344750017,1.52974999,1.422250032,1.28125,1.440000027,1.598500013,1.725250036,19.77708332,16.6500001,16.5,17.125,17.6500001,19.07499981,21.14999962,22.75,23.87500048,23.5999999,21.625,19.5250001,17.79999971,16.68333336,14.32500005,13.82500005,14.10000014,14.5250001,15.72499967,17.4000001,18.64999962,19.9000001,20.20000029,18.92500019,17.0999999,15.5250001,18.12083338,15.5,15.19999981,15.5,15.99999976,17.25,19.0999999,20.40000057,21.57499981,21.70000029,20.20000029,18.32499981,16.70000029
Funchal,10,183,2546,190.65,3243.331299,47,0.223555564,0,0,0,0.761904762,0,0.238095238,22.89999979,130.2333323,121,51.43333308,3.966666738,-69.33333333,-116.8666687,-157.9333344,-141.5,-36.26666641,93.09999847,164.5333354,232.4333344,0.597530552,0.59496667,0.603533328,0.604933341,0.586699982,0.590766668,0.595899999,0.595200002,0.593733331,0.594399989,0.599933326,0.601566652,0.608733336,139.1972224,196.0333354,200.0333354,161.0333354,135.9666646,79.86666616,39.66666667,11.39999994,17.63333321,92.5,200.2333323,238.7333374,297.2666626,1.792111129,1.943666657,1.905000011,1.972333352,1.849666675,1.714333336,1.575000008,1.794666688,1.667666713,1.501333316,1.687333345,1.873000026,2.021333416,19.92777787,16.85000038,16.71666654,17.28333346,17.81666692,19.25,21.21666654,22.75,23.9166673,23.75,21.81666692,19.75,18.01666641,16.89722217,14.58333333,14.08333333,14.3166666,14.78333346,15.94999949,17.54999987,18.71666654,20.01666641,20.41666667,19.18333371,17.38333321,15.78333346,18.30277787,15.71666686,15.41666667,15.71666686,16.21666654,17.41666667,19.21666654,20.45000076,21.68333308,21.88333384,20.41666667,18.58333333,16.91666667
Funchal,9,183,2547,486.1,4058.247437,151,0.192000005,0,0.083333333,0,0.916666667,0,0,31.92083303,141.6999969,133,61.65000153,14.25,-60.79999924,-110.5999985,-154.8000031,-140,-31.94999981,103.3499985,177.75,249.5,0.612674999,0.61135,0.618049979,0.617000014,0.600349993,0.605549991,0.612349987,0.611249983,0.609750003,0.609200001,0.615800023,0.615550011,0.6259,149.6041651,211,215.5,173.5999985,146.4499969,86.14999771,43.04999924,12.55000019,19.40000057,99.34999847,214.5999985,255.9499969,317.6499939,1.580208331,1.700500011,1.669999957,1.729999959,1.629999995,1.515500009,1.404999971,1.603000045,1.486999989,1.330500007,1.483500004,1.641500056,1.765999973,19.45833325,16.25,16.14999962,16.80000019,17.25,18.75,20.94999981,22.69999981,23.69999981,23.25,21.25,19.09999943,17.35000038,16.36666675,13.9000001,13.45000029,13.75,14.1500001,15.4000001,17.20000076,18.55000019,19.75,19.89999962,18.55000019,16.69999981,15.0999999,17.80416663,15.1500001,14.75,15.20000029,15.64999962,16.89999962,18.84999943,20.30000019,21.39999962,21.39999962,19.85000038,17.90000057,16.30000019
Funchal,5,183,2548,190.65,1943.033488,465.0769231,0.303333346,0,0.08045977,0.459770115,0.459770115,0,0,41.84166623,155.738462,148.7538476,75.40769254,26.54615366,-51.99230752,-106.6615372,-157.3307718,-141.1615389,-25.86153859,116.5384604,193.2538452,268.8692275,0.639511538,0.644715387,0.64103077,0.630423078,0.627807691,0.634484612,0.640923074,0.628161531,0.633969234,0.640669227,0.649538462,0.640676925,0.661738464,161.377564,228.4076925,233.6153858,188.0153832,157.4307674,92.61538403,46.70000018,14.05384621,21.70000018,107.1769233,230.7230765,275.6000014,340.4923072,2.498871799,2.66615388,2.624769211,2.719769239,2.573153872,2.400076894,2.248384604,2.575230764,2.382769236,2.115153845,2.337153829,2.579230813,2.764615398,18.1974359,14.67307692,14.61923071,15.37307703,15.74230766,17.38846177,20.14999991,22.45769237,23.13461524,21.99615376,19.69615379,17.43461543,15.7038462,15.13525644,12.34230768,11.95769229,12.36538462,12.67307692,14.08076925,16.48846157,18.41153864,19.19615393,18.6576921,17.00384624,15.01923092,13.42692316,16.56025639,13.54230771,13.2653846,13.78076935,14.13461531,15.58076903,18.13461538,20.14230772,20.87307695,20.11923056,18.28076935,16.2346154,14.63461531
Funchal,8,183,2549,190.65,4329.372681,227.3333333,0.268000014,0.034482759,0.137931034,0,0.75862069,0.068965517,0,37.3027771,148.9333344,140.6999969,68.70000076,20.73333327,-56.5333341,-108.6666667,-154.9666697,-140,-28.46666654,110.5,186.299998,260.399999,0.62028611,0.619966666,0.624966661,0.62226669,0.607800007,0.613499999,0.620833317,0.61833334,0.617233336,0.616666675,0.624433319,0.622333328,0.635099987,155.5138902,219.1666667,223.8666636,180.8666687,152.799998,89.96666718,45,13.16666698,20.20000013,103.4666646,222.7333323,265.4000092,329.5333455,1.737999989,1.870666663,1.83766667,1.903333306,1.794666648,1.669333339,1.545333346,1.757999976,1.632333318,1.46266667,1.631999969,1.805999994,1.943999966,19.18888874,15.88333321,15.75000032,16.44999949,16.94999949,18.44999949,20.81666692,22.71666654,23.61666679,23.04999987,20.91666603,18.71666718,16.94999949,16.01388884,13.45000013,13.01666641,13.35000006,13.75,15.01666641,16.98333295,18.48333359,19.54999987,19.54999987,18.11666679,16.25,14.64999994,17.47777767,14.71666686,14.41666667,14.78333346,15.25,16.58333333,18.68333308,20.25,21.28333346,21.04999987,19.41666603,17.44999949,15.84999975
Funchal,4,183,2550,89.75,332.3836212,1011.333333,0.37016218,0,0.131672598,0.814946619,0.049822064,0.003558719,0,63.07029894,190.1589739,185.0538455,108.6923079,56.24358979,-35.1641027,-106.0743588,-174.5205149,-151.2871794,-12.32564108,148.05641,231.8948724,316.1153846,0.611467735,0.628551284,0.61649231,0.592869234,0.614069234,0.614684617,0.595238461,0.551651283,0.576325639,0.621307691,0.642735897,0.632025636,0.651661535,187.6536324,266.1230766,272.3435908,222.2564091,185.3897423,108.8333333,55.83846166,17.72307704,26.46410248,124.4974367,264.8051277,316.4974357,391.0717953,3.892036324,4.114589725,4.063999974,4.213641002,4.021358985,3.767974358,3.553666668,4.034000005,3.737897451,3.310743573,3.629128193,3.992025669,4.265410283,16.0476496,11.82948721,11.90384623,12.94743594,13.13974356,15.11410256,18.96025648,22.30641023,22.32948719,19.88846153,17.00384622,14.45769229,12.69102573,12.69893164,9.301282064,8.998717919,9.652564122,9.798717939,11.50641028,14.95256407,17.87820513,18.01153858,16.19871788,14.07564114,11.81410256,10.19871797,14.24572647,10.5961539,10.44487172,11.17820512,11.3679487,13.1423077,16.72948708,19.76794864,19.82692308,17.79871782,15.44743597,13.12435898,11.5243589
Funchal,6,183,2551,89.75,1277.238059,486.6875,0.445333354,0,0.362068966,0.267241379,0.224137931,0.060344828,0.086206897,32.52812492,142.6875,137.0187507,64.68125033,17.08749995,-58.34375024,-110.3874989,-159.8812504,-144.3687506,-32.88125032,104.4937487,178.7875013,251.4437485,0.6390125,0.643062502,0.640262507,0.630062498,0.62583125,0.633143753,0.641893748,0.631543752,0.635993753,0.640212495,0.647774994,0.638837505,0.659531247,154.9348963,219.6374998,224.6750002,179.8812504,150.0374994,88.13750076,44.46875,13.32499993,20.8375001,102.8500004,222.1374989,265.5937529,327.6375027,3.062421884,3.267000034,3.215312511,3.332625031,3.147312507,2.934874989,2.752499975,3.168687515,2.927437507,2.593000002,2.863812506,3.160062514,3.38643752,18.22343754,14.77500004,14.69375002,15.40000004,15.79374999,17.39375007,20.11874998,22.37500012,23.0625,21.98125017,19.75,17.53125018,15.80624986,15.31927083,12.55624998,12.16249996,12.55000001,12.88125002,14.26875001,16.64374983,18.54374993,19.35625005,18.81250012,17.20000005,15.21249992,13.64375007,16.67083327,13.6937499,13.41875005,13.89999998,14.24999994,15.69999999,18.19999981,20.20000005,20.94375002,20.20624995,18.39374983,16.36874992,14.7749998
