Date,Temp,Hum,Prec,Cases
13/08/2012,22,66,0,
14/08/2012,20,67,0,
15/08/2012,23,66,0,
16/08/2012,21,68,0,
17/08/2012,21,67,0,
18/08/2012,22,68,0,
19/08/2012,23,73,0,
20/08/2012,23,70,0,
21/08/2012,23,61,0,
22/08/2012,24,67,0,
23/08/2012,23,66,0,
24/08/2012,23,69,0,
25/08/2012,23,68,0,
26/08/2012,23,71,0,
27/08/2012,23,72,0,
28/08/2012,22,69,0,
29/08/2012,24,71,0,
30/08/2012,24,65,0,
31/08/2012,23,64,0,
01/09/2012,23,60,0,
02/09/2012,22,40,0,
03/09/2012,22,50,0,
04/09/2012,23,60,0,
05/09/2012,22,62,0,
06/09/2012,23,63,0,
07/09/2012,21,66,0,
08/09/2012,21,66,0,
09/09/2012,21,64,0,
10/09/2012,21,67,0,
11/09/2012,22,70,0,
12/09/2012,23,72,0,
13/09/2012,23,72,0,
14/09/2012,24,67,0,
15/09/2012,23,68,0,
16/09/2012,23,71,0,
17/09/2012,22,76,0.76,
18/09/2012,22,68,0,
19/09/2012,22,71,0,
20/09/2012,22,72,0,
21/09/2012,22,81,3.05,
22/09/2012,22,81,3.05,
23/09/2012,22,75,0,
24/09/2012,24,78,0,
25/09/2012,23,80,5.08,
26/09/2012,19,82,24.89,
27/09/2012,18,62,0.25,
28/09/2012,18,64,2.03,
29/09/2012,20,67,0.51,
30/09/2012,20,64,1.02,
01/10/2012,21,58,0,9
02/10/2012,21,60,0,
03/10/2012,19,64,0,
04/10/2012,20,63,0,
05/10/2012,21,66,0,
06/10/2012,21,68,0,
07/10/2012,21,72,0,
08/10/2012,22,74,0,145
09/10/2012,22,75,0,
10/10/2012,22,72,2.03,
11/10/2012,22,70,0,
12/10/2012,20,67,0,
13/10/2012,20,62,0,
14/10/2012,19,65,1.02,
15/10/2012,20,69,0,173
16/10/2012,21,72,0,
17/10/2012,20,74,0,
18/10/2012,16,62,3.05,
19/10/2012,17,58,2.03,
20/10/2012,16,58,0,
21/10/2012,18,65,0,
22/10/2012,21,78,7.11,219
23/10/2012,20,77,25.91,
24/10/2012,19,68,2.03,
25/10/2012,19,60,0,
26/10/2012,20,72,0,
27/10/2012,20,74,0.51,
28/10/2012,20,84,11.94,
29/10/2012,20,81,4.06,395
30/10/2012,20,85,87.12,
31/10/2012,20,77,4.06,
01/11/2012,19,82,7.87,
02/11/2012,21,82,0.51,
03/11/2012,23,72,1.02,
04/11/2012,21,65,7.87,
