Date,Temp,Hum,Prec
01/01/2010,13,52,0
02/01/2010,18,59,0
03/01/2010,16,46,0
04/01/2010,15,43,0
05/01/2010,15,55,0
06/01/2010,16,60,0
07/01/2010,14,45,0
08/01/2010,13,44,0
09/01/2010,13,59,0
10/01/2010,14,38,0
11/01/2010,13,52,0
12/01/2010,16,52,0
13/01/2010,18,69,0
14/01/2010,18,78,0
15/01/2010,17,60,0
16/01/2010,16,60,0
17/01/2010,18,38,0
18/01/2010,16,63,0
19/01/2010,15,60,0
20/01/2010,14,53,0
21/01/2010,14,59,0
22/01/2010,16,60,0
23/01/2010,14,55,0
24/01/2010,14,52,0
25/01/2010,15,51,0
26/01/2010,14,52,0
27/01/2010,14,51,0
28/01/2010,13,45,0
29/01/2010,15,56,0
30/01/2010,15,64,0
31/01/2010,15,72,0
01/02/2010,15,83,0
02/02/2010,17,88,0
03/02/2010,15,64,0
04/02/2010,14,64,0
05/02/2010,16,73,0
06/02/2010,17,68,0
07/02/2010,17,68,0
08/02/2010,16,52,0
09/02/2010,15,52,0
10/02/2010,14,60,0
11/02/2010,17,73,0
12/02/2010,16,72,0
13/02/2010,14,64,0
14/02/2010,14,49,0
15/02/2010,14,43,0
16/02/2010,14,52,0
17/02/2010,13,72,0
18/02/2010,13,55,0
19/02/2010,12,45,0
20/02/2010,15,63,0
21/02/2010,17,55,0
22/02/2010,17,59,0
23/02/2010,16,36,0
24/02/2010,15,63,0
25/02/2010,18,56,0
26/02/2010,16,77,0
27/02/2010,13,55,0
28/02/2010,11,34,0
01/03/2010,13,51,0
02/03/2010,12,39,0
03/03/2010,11,46,0
04/03/2010,14,63,0
05/03/2010,16,57,0
06/03/2010,15,57,0
07/03/2010,14,60,0
08/03/2010,16,61,0
09/03/2010,16,64,0
10/03/2010,14,68,0
11/03/2010,15,63,0
12/03/2010,14,59,0
13/03/2010,14,55,0
14/03/2010,14,55,0
15/03/2010,14,64,0
16/03/2010,15,68,0
17/03/2010,17,59,0
18/03/2010,17,30,0
19/03/2010,18,83,0
20/03/2010,16,60,0
21/03/2010,15,56,0
22/03/2010,15,59,0
23/03/2010,14,64,0
24/03/2010,15,46,0
25/03/2010,14,53,0
26/03/2010,14,46,0
27/03/2010,16,56,0
28/03/2010,14,56,0
29/03/2010,15,50,0
30/03/2010,15,52,0
31/03/2010,15,46,0
01/04/2010,15,45,0
02/04/2010,15,59,0
03/04/2010,15,49,0
04/04/2010,15,45,0
05/04/2010,14,52,0
06/04/2010,13,52,0
07/04/2010,15,67,0
08/04/2010,15,60,0
09/04/2010,15,40,0
10/04/2010,16,40,0
11/04/2010,16,53,0
12/04/2010,14,68,0
13/04/2010,14,48,0
14/04/2010,15,59,0
15/04/2010,14,59,0
16/04/2010,14,46,0
17/04/2010,15,56,0
18/04/2010,15,60,0
19/04/2010,17,72,0
20/04/2010,17,64,0
21/04/2010,16,57,0
22/04/2010,15,56,0
23/04/2010,14,64,0
24/04/2010,16,60,0
25/04/2010,16,46,0
26/04/2010,19,25,0
27/04/2010,19,21,0
28/04/2010,18,35,0
29/04/2010,17,56,0
30/04/2010,16,60,0
01/05/2010,17,60,0
02/05/2010,17,56,0
03/05/2010,17,59,0
04/05/2010,16,52,0
05/05/2010,16,56,0
06/05/2010,15,53,0
07/05/2010,15,68,0
08/05/2010,17,53,0
09/05/2010,16,60,0
10/05/2010,16,64,0
11/05/2010,16,56,0
12/05/2010,15,48,0
13/05/2010,14,52,0
14/05/2010,16,52,0
15/05/2010,15,56,0
16/05/2010,17,55,0
17/05/2010,15,49,0
18/05/2010,16,53,0
19/05/2010,17,28,0
20/05/2010,20,25,0
21/05/2010,18,29,0
22/05/2010,18,60,0
23/05/2010,16,49,0
24/05/2010,15,53,0
25/05/2010,17,60,0
26/05/2010,17,56,0
27/05/2010,16,60,0
28/05/2010,16,53,0
29/05/2010,18,57,0
30/05/2010,18,61,0
31/05/2010,17,56,0
01/06/2010,17,61,0
02/06/2010,17,69,0
03/06/2010,17,57,0
04/06/2010,17,53,0
05/06/2010,19,60,0
06/06/2010,18,50,0
07/06/2010,19,50,0
08/06/2010,19,50,0
09/06/2010,18,64,0
10/06/2010,18,38,0
11/06/2010,17,49,0
12/06/2010,17,53,0
13/06/2010,17,50,0
14/06/2010,18,50,0
15/06/2010,17,53,0
16/06/2010,18,49,0
17/06/2010,18,46,0
18/06/2010,18,50,0
19/06/2010,18,60,0
20/06/2010,18,50,0
21/06/2010,18,53,0
22/06/2010,18,50,0
23/06/2010,19,57,0
24/06/2010,19,53,0
25/06/2010,19,43,0
26/06/2010,19,49,0
27/06/2010,19,50,0
28/06/2010,19,53,0
29/06/2010,17,50,0
30/06/2010,18,39,0
01/07/2010,18,57,0
02/07/2010,19,60,0
03/07/2010,19,68,0
04/07/2010,18,53,0
05/07/2010,18,65,0
06/07/2010,20,69,0
07/07/2010,20,61,0
08/07/2010,18,61,0
09/07/2010,18,61,0
10/07/2010,19,19,0
11/07/2010,21,19,0
12/07/2010,20,42,0
13/07/2010,20,54,0
14/07/2010,20,54,0
15/07/2010,19,53,0
16/07/2010,20,53,0
17/07/2010,21,57,0
18/07/2010,20,54,0
19/07/2010,19,22,0
20/07/2010,21,41,0
21/07/2010,21,61,0
22/07/2010,20,50,0
23/07/2010,20,53,0
24/07/2010,20,53,0
25/07/2010,19,60,0
26/07/2010,19,64,0
27/07/2010,20,61,0
28/07/2010,19,61,0
29/07/2010,20,57,0
30/07/2010,20,57,0
31/07/2010,20,50,0
01/08/2010,20,57,0
02/08/2010,20,57,0
03/08/2010,21,51,0
04/08/2010,20,57,0
05/08/2010,19,57,0
06/08/2010,20,57,0
07/08/2010,20,54,0
08/08/2010,20,61,0
09/08/2010,19,57,0
10/08/2010,22,65,0
11/08/2010,21,22,0
12/08/2010,26,14,0
13/08/2010,22,24,0
14/08/2010,21,57,0
15/08/2010,21,47,0
16/08/2010,21,47,0
17/08/2010,21,54,0
18/08/2010,20,54,0
19/08/2010,20,54,0
20/08/2010,21,65,0
21/08/2010,22,57,0
22/08/2010,20,57,0
23/08/2010,20,51,0
24/08/2010,23,51,0
25/08/2010,20,58,0
26/08/2010,20,65,0
27/08/2010,22,57,0
28/08/2010,21,51,0
29/08/2010,26,14,0
30/08/2010,24,12,0
31/08/2010,22,47,0
01/09/2010,23,58,0
02/09/2010,22,54,0
03/09/2010,23,57,0
04/09/2010,23,58,0
05/09/2010,23,61,0
06/09/2010,21,42,0
07/09/2010,21,61,0
08/09/2010,22,48,0
09/09/2010,22,42,0
10/09/2010,22,54,0
11/09/2010,22,54,0
12/09/2010,22,51,0
13/09/2010,21,54,0
14/09/2010,20,58,0
15/09/2010,21,57,0
16/09/2010,20,54,0
17/09/2010,22,61,0
18/09/2010,21,57,0
19/09/2010,20,54,0
20/09/2010,20,53,0
21/09/2010,19,60,0
22/09/2010,19,53,0
23/09/2010,20,57,0
24/09/2010,22,65,0
25/09/2010,21,61,0
26/09/2010,21,73,0
27/09/2010,20,54,0
28/09/2010,19,54,0
29/09/2010,20,60,0
30/09/2010,21,60,0
01/10/2010,20,56,0
02/10/2010,19,65,0
03/10/2010,19,48,0
04/10/2010,21,57,0
05/10/2010,21,50,0
06/10/2010,20,54,0
07/10/2010,19,57,0
08/10/2010,19,51,0
09/10/2010,18,50,0
10/10/2010,20,54,0
11/10/2010,21,65,0
12/10/2010,20,57,0
13/10/2010,18,65,0
14/10/2010,19,69,0
15/10/2010,20,78,0
16/10/2010,20,78,0
17/10/2010,21,73,0
18/10/2010,20,65,0
19/10/2010,20,61,0
20/10/2010,19,69,0
21/10/2010,19,88,0
22/10/2010,19,69,0
23/10/2010,19,68,0
24/10/2010,20,56,0
25/10/2010,20,64,0
26/10/2010,20,64,0
27/10/2010,20,57,0
28/10/2010,19,69,0
29/10/2010,18,61,0
30/10/2010,17,53,0
31/10/2010,20,60,0
01/11/2010,19,53,0
02/11/2010,18,60,0
03/11/2010,20,65,0
04/11/2010,20,69,0
05/11/2010,19,69,0
06/11/2010,19,57,0
07/11/2010,19,60,0
08/11/2010,18,57,0
09/11/2010,17,56,0
10/11/2010,17,52,0
11/11/2010,17,64,0
12/11/2010,17,68,0
13/11/2010,16,65,0
14/11/2010,17,64,0
15/11/2010,17,46,0
16/11/2010,17,50,0
17/11/2010,16,69,0
18/11/2010,17,73,0
19/11/2010,18,73,0
20/11/2010,19,83,0
21/11/2010,18,94,0
22/11/2010,17,53,0
23/11/2010,19,53,0
24/11/2010,17,61,0
25/11/2010,18,73,0
26/11/2010,16,40,0
27/11/2010,16,37,0
28/11/2010,17,50,0
29/11/2010,15,43,0
30/11/2010,14,34,0
01/12/2010,14,30,0
02/12/2010,13,52,0
03/12/2010,15,68,0
04/12/2010,18,73,0
05/12/2010,19,73,0
06/12/2010,17,72,0
07/12/2010,16,68,0
08/12/2010,15,68,0
09/12/2010,15,64,0
10/12/2010,14,59,0
11/12/2010,15,60,0
12/12/2010,14,56,0
13/12/2010,14,64,0
14/12/2010,15,60,0
15/12/2010,18,77,0
16/12/2010,15,73,0
17/12/2010,14,72,0
18/12/2010,15,60,0
19/12/2010,14,64,0
20/12/2010,16,64,0
21/12/2010,15,49,0
22/12/2010,14,55,0
23/12/2010,13,55,0
24/12/2010,13,63,0
