Date,Temp,Hum,Prec
01/01/2008,13,56,0
02/01/2008,16,60,0
03/01/2008,15,40,0
04/01/2008,16,57,0
05/01/2008,16,56,0
06/01/2008,16,82,0
07/01/2008,16,78,0
08/01/2008,15,68,0
09/01/2008,14,63,0
10/01/2008,14,52,0
11/01/2008,13,56,0
12/01/2008,14,67,0
13/01/2008,13,60,0
14/01/2008,14,48,0
15/01/2008,14,52,0
16/01/2008,15,52,0
17/01/2008,15,72,0
18/01/2008,15,68,0
19/01/2008,15,68,0
20/01/2008,15,60,0
21/01/2008,16,53,0
22/01/2008,16,37,0
23/01/2008,15,55,0
24/01/2008,16,72,0
25/01/2008,15,73,0
26/01/2008,15,53,0
27/01/2008,16,32,0
28/01/2008,16,68,0
29/01/2008,16,68,0
30/01/2008,16,64,0
31/01/2008,15,59,0
01/02/2008,12,45,0
02/02/2008,13,45,0
03/02/2008,13,52,0
04/02/2008,15,60,0
05/02/2008,14,59,0
06/02/2008,15,60,0
07/02/2008,15,48,0
08/02/2008,17,52,0
09/02/2008,17,43,0
10/02/2008,16,59,0
11/02/2008,14,64,0
12/02/2008,13,49,0
13/02/2008,12,68,0
14/02/2008,12,60,0
15/02/2008,15,68,0
16/02/2008,15,77,0
17/02/2008,16,68,0
18/02/2008,15,60,0
19/02/2008,14,60,0
20/02/2008,12,49,0
21/02/2008,13,60,0
22/02/2008,14,60,0
23/02/2008,13,59,0
24/02/2008,14,52,0
25/02/2008,14,59,0
26/02/2008,15,63,0
27/02/2008,15,59,0
28/02/2008,14,52,0
29/02/2008,16,59,0
01/03/2008,15,59,0
02/03/2008,16,56,0
03/03/2008,15,59,0
04/03/2008,15,52,0
05/03/2008,16,64,0
06/03/2008,15,59,0
07/03/2008,14,56,0
08/03/2008,14,49,0
09/03/2008,14,48,0
10/03/2008,15,52,0
11/03/2008,14,56,0
12/03/2008,15,73,0
13/03/2008,16,72,0
14/03/2008,14,68,0
15/03/2008,15,64,0
16/03/2008,15,60,0
17/03/2008,14,49,0
18/03/2008,15,52,0
19/03/2008,14,49,0
20/03/2008,13,52,0
21/03/2008,14,42,0
22/03/2008,15,55,0
23/03/2008,12,59,0
24/03/2008,14,48,0
25/03/2008,13,55,0
26/03/2008,13,59,0
27/03/2008,14,46,0
28/03/2008,15,59,0
29/03/2008,15,43,0
30/03/2008,14,52,0
31/03/2008,16,64,0
01/04/2008,16,56,0
02/04/2008,15,56,0
03/04/2008,17,68,0
04/04/2008,17,60,0
05/04/2008,17,60,0
06/04/2008,14,72,0
07/04/2008,13,52,0
08/04/2008,16,39,0
09/04/2008,15,60,0
10/04/2008,12,52,0
11/04/2008,12,52,0
12/04/2008,13,52,0
13/04/2008,13,46,0
14/04/2008,14,59,0
15/04/2008,12,55,0
16/04/2008,15,63,0
17/04/2008,15,64,0
18/04/2008,15,45,0
19/04/2008,14,49,0
20/04/2008,15,45,0
21/04/2008,14,52,0
22/04/2008,13,43,0
23/04/2008,14,56,0
24/04/2008,17,64,0
25/04/2008,17,38,0
26/04/2008,20,25,0
27/04/2008,18,22,0
28/04/2008,17,25,0
29/04/2008,16,64,0
30/04/2008,15,52,0
01/05/2008,15,56,0
02/05/2008,17,64,0
03/05/2008,18,57,0
04/05/2008,17,64,0
05/05/2008,17,64,0
06/05/2008,16,69,0
07/05/2008,18,64,0
08/05/2008,17,49,0
09/05/2008,16,43,0
10/05/2008,16,49,0
11/05/2008,16,52,0
12/05/2008,14,64,0
13/05/2008,16,64,0
14/05/2008,17,50,0
