Date,Temp,Hum,Prec
01/01/2013,16,69,0
02/01/2013,17,43,0
03/01/2013,17,54,0
04/01/2013,17,62,0
05/01/2013,17,54,0
06/01/2013,17,54,0
07/01/2013,18,63,0
08/01/2013,17,58,0
09/01/2013,17,56,0
10/01/2013,16,63,0
11/01/2013,15,65,0
12/01/2013,16,68,0
13/01/2013,16,47,0
14/01/2013,15,56,0
15/01/2013,15,61,0
16/01/2013,15,64,0
17/01/2013,15,61,0
18/01/2013,15,65,0
19/01/2013,17,57,0.1
20/01/2013,16,65,0
21/01/2013,16,52,0
22/01/2013,15,50,0
23/01/2013,,,
24/01/2013,17,65,0
25/01/2013,16,63,0
26/01/2013,17,74,0
27/01/2013,17,78,0.03
28/01/2013,17,74,0
29/01/2013,17,65,0
30/01/2013,17,66,0
31/01/2013,16,44,0
01/02/2013,,,
02/02/2013,,,
03/02/2013,,,
04/02/2013,16,57,0
05/02/2013,16,59,0
06/02/2013,16,61,0
07/02/2013,15,55,0
08/02/2013,15,53,0
09/02/2013,15,49,0
10/02/2013,15,51,0
11/02/2013,15,65,0
12/02/2013,14,66,0
13/02/2013,15,59,0
14/02/2013,15,59,0
15/02/2013,15,66,0
16/02/2013,15,68,0
17/02/2013,17,78,0.3
18/02/2013,14,41,0.08
19/02/2013,14,56,0
20/02/2013,16,61,0.41
21/02/2013,16,64,0.03
22/02/2013,17,46,0.03
23/02/2013,15,53,0
24/02/2013,15,62,0
25/02/2013,15,67,0
26/02/2013,15,63,0
27/02/2013,15,49,0
28/02/2013,15,52,0
01/03/2013,15,68,1.9
02/03/2013,15,70,0
03/03/2013,15,75,3.25
04/03/2013,14,72,1.75
05/03/2013,15,71,76.05
06/03/2013,18,87,0.03
07/03/2013,18,82,0.23
08/03/2013,16,82,0.25
09/03/2013,15,51,0.13
10/03/2013,15,59,0
11/03/2013,15,67,0
12/03/2013,17,80,0
13/03/2013,16,75,0.03
14/03/2013,15,88,1.9
15/03/2013,16,79,0
16/03/2013,16,83,1.55
17/03/2013,16,85,0.28
18/03/2013,16,85,0.41
19/03/2013,16,73,0.2
20/03/2013,16,71,0
21/03/2013,15,60,0.91
22/03/2013,15,55,0.05
23/03/2013,15,47,0.15
24/03/2013,14,52,0
25/03/2013,15,70,0
26/03/2013,17,70,1.4
27/03/2013,17,65,0.05
28/03/2013,16,75,0
29/03/2013,17,83,0
30/03/2013,18,81,0
31/03/2013,17,72,0.23
01/04/2013,16,63,0
02/04/2013,15,61,0.69
03/04/2013,12,61,1.45
04/04/2013,15,53,0.13
05/04/2013,16,51,0
06/04/2013,15,56,0
07/04/2013,15,57,0
08/04/2013,14,67,0
09/04/2013,16,72,0
10/04/2013,16,67,0
11/04/2013,18,60,0
12/04/2013,17,70,0
13/04/2013,18,66,0
14/04/2013,17,73,0
15/04/2013,18,72,0
16/04/2013,18,72,0
17/04/2013,16,69,0
18/04/2013,17,75,0
19/04/2013,18,72,0
20/04/2013,19,35,0
21/04/2013,21,22,0
22/04/2013,20,26,0
23/04/2013,17,75,0
24/04/2013,17,77,0
25/04/2013,18,38,0
26/04/2013,18,38,0
27/04/2013,17,65,0
28/04/2013,16,47,0
29/04/2013,15,54,0
30/04/2013,16,51,0
01/05/2013,16,51,0.03
02/05/2013,16,52,0
03/05/2013,16,54,0
04/05/2013,16,65,0
05/05/2013,16,69,0
06/05/2013,16,55,0
07/05/2013,18,48,0
08/05/2013,18,79,0
09/05/2013,19,89,0
10/05/2013,19,81,0
11/05/2013,19,56,0
12/05/2013,18,68,0
13/05/2013,17,72,0.05
14/05/2013,17,48,0
15/05/2013,17,54,0
16/05/2013,17,47,0
17/05/2013,16,60,0
18/05/2013,17,46,0
19/05/2013,16,50,0
20/05/2013,17,55,0
21/05/2013,16,50,0
22/05/2013,17,54,0
23/05/2013,17,60,0
24/05/2013,17,67,0
25/05/2013,17,57,0
26/05/2013,17,58,0
27/05/2013,17,58,0
28/05/2013,17,60,0
29/05/2013,16,49,0
30/05/2013,17,61,0
31/05/2013,17,58,0
01/06/2013,17,66,0
02/06/2013,17,70,0
03/06/2013,18,68,0
04/06/2013,18,59,0
05/06/2013,18,57,0
06/06/2013,18,64,0
07/06/2013,19,56,0
08/06/2013,18,51,0
09/06/2013,17,63,0
10/06/2013,17,72,0
11/06/2013,18,67,0
12/06/2013,19,74,0
13/06/2013,20,82,0
14/06/2013,20,80,0
15/06/2013,19,71,0
16/06/2013,20,74,0
17/06/2013,19,62,0
18/06/2013,18,60,0
19/06/2013,19,71,0
20/06/2013,19,67,0
21/06/2013,19,74,0
22/06/2013,19,70,0
23/06/2013,19,76,0
24/06/2013,20,77,0
25/06/2013,19,77,0
26/06/2013,19,74,0
27/06/2013,19,77,0
28/06/2013,19,81,0
29/06/2013,19,56,0
30/06/2013,20,73,0
01/07/2013,19,77,0
02/07/2013,20,74,0
03/07/2013,19,79,0
04/07/2013,20,74,0
05/07/2013,20,72,0
06/07/2013,20,81,0
07/07/2013,20,75,0
08/07/2013,19,78,0
09/07/2013,20,79,0
10/07/2013,22,39,0
11/07/2013,23,48,0
12/07/2013,21,53,0
13/07/2013,20,77,0
14/07/2013,20,72,0
15/07/2013,21,72,0
16/07/2013,20,69,0
17/07/2013,20,68,0
18/07/2013,21,65,0
19/07/2013,20,72,0
20/07/2013,21,74,0
21/07/2013,22,81,0
22/07/2013,21,77,0
23/07/2013,21,69,0
24/07/2013,21,74,0
25/07/2013,22,75,0
26/07/2013,21,66,0
27/07/2013,21,72,0.2
28/07/2013,21,74,0.56
29/07/2013,21,72,0
30/07/2013,21,69,0
31/07/2013,21,70,0
01/08/2013,21,74,0
02/08/2013,22,56,0
03/08/2013,21,61,0
04/08/2013,20,66,0
05/08/2013,21,72,0
06/08/2013,21,76,0
07/08/2013,21,68,0
08/08/2013,21,76,0
09/08/2013,21,70,0
10/08/2013,20,71,0
11/08/2013,21,83,0
12/08/2013,21,76,0
13/08/2013,21,80,0
14/08/2013,22,60,0
15/08/2013,23,85,0
16/08/2013,23,49,0
17/08/2013,23,47,0
18/08/2013,21,71,0
19/08/2013,23,56,0
20/08/2013,22,77,0
21/08/2013,22,76,0
22/08/2013,21,73,0
23/08/2013,22,75,0
24/08/2013,22,76,0
25/08/2013,21,60,0
26/08/2013,22,66,0
27/08/2013,21,64,0
28/08/2013,21,64,0
29/08/2013,21,66,0
30/08/2013,21,57,0
31/08/2013,21,73,0
01/09/2013,21,60,0
02/09/2013,22,61,0
03/09/2013,21,77,0
04/09/2013,21,72,0
05/09/2013,21,66,0
06/09/2013,21,67,0.03
07/09/2013,20,71,0.05
08/09/2013,20,57,0
09/09/2013,20,62,0
10/09/2013,20,68,0
11/09/2013,20,75,0.61
12/09/2013,20,66,0.03
13/09/2013,20,75,0
14/09/2013,21,73,0
15/09/2013,21,67,0
16/09/2013,20,72,0.2
17/09/2013,21,66,0
18/09/2013,21,69,0
19/09/2013,21,53,0
20/09/2013,21,70,0
21/09/2013,20,60,0
22/09/2013,20,67,0
23/09/2013,21,76,0
24/09/2013,21,68,0.66
25/09/2013,20,69,0.2
26/09/2013,20,81,1.93
27/09/2013,20,72,0.05
28/09/2013,20,82,0.15
29/09/2013,22,90,0.51
30/09/2013,22,81,0.03
01/10/2013,22,80,0.03
02/10/2013,21,72,0.2
03/10/2013,20,67,0
04/10/2013,20,69,0
05/10/2013,21,68,0
06/10/2013,20,69,0
07/10/2013,20,62,0
08/10/2013,20,66,0
09/10/2013,20,65,0
10/10/2013,20,67,0
11/10/2013,20,64,0
12/10/2013,19,66,0
13/10/2013,20,68,0
14/10/2013,20,73,0
15/10/2013,20,68,0
16/10/2013,20,70,0
17/10/2013,20,72,0
18/10/2013,21,66,1.47
19/10/2013,19,64,0.05
20/10/2013,19,74,0
21/10/2013,20,76,0.33
22/10/2013,20,81,0.38
23/10/2013,21,76,0
24/10/2013,20,64,1.4
25/10/2013,19,53,0
26/10/2013,19,60,0
27/10/2013,19,59,0
28/10/2013,19,75,0
29/10/2013,20,58,0
30/10/2013,19,53,0
31/10/2013,19,58,0
01/11/2013,18,61,0
02/11/2013,18,67,0
03/11/2013,19,65,0
04/11/2013,20,73,0.3
05/11/2013,19,71,0
06/11/2013,20,66,0
07/11/2013,20,78,0
08/11/2013,20,75,0.03
09/11/2013,19,51,0
10/11/2013,19,57,0
11/11/2013,19,69,0
12/11/2013,19,67,0
13/11/2013,19,66,0
14/11/2013,19,52,0
15/11/2013,19,59,0
16/11/2013,18,48,0
17/11/2013,17,41,0.03
18/11/2013,18,53,0
19/11/2013,18,53,0
20/11/2013,17,54,0
21/11/2013,17,69,0
22/11/2013,19,74,0
23/11/2013,19,76,0.03
24/11/2013,18,62,0
25/11/2013,17,48,0
26/11/2013,17,53,0
27/11/2013,18,69,0
28/11/2013,19,70,0.2
29/11/2013,18,83,0.28
30/11/2013,18,78,0.18
01/12/2013,18,71,0.03
02/12/2013,,,
03/12/2013,,,
04/12/2013,,,
05/12/2013,,,
06/12/2013,,,
07/12/2013,,,
08/12/2013,,,
09/12/2013,,,
10/12/2013,,,
11/12/2013,,,
12/12/2013,,,
13/12/2013,,,
14/12/2013,,,
15/12/2013,,,
16/12/2013,,,
17/12/2013,,,
18/12/2013,,,
19/12/2013,,,
20/12/2013,,,
21/12/2013,,,
22/12/2013,,,
23/12/2013,,,
24/12/2013,,,
25/12/2013,,,
26/12/2013,,,
27/12/2013,,,
28/12/2013,,,
29/12/2013,,,
30/12/2013,,,
31/12/2013,,,
