Date,Temp,Hum,Prec
01/01/2011,14,64,0
02/01/2011,14,56,0
03/01/2011,16,64,0
04/01/2011,15,64,0
05/01/2011,17,68,0
06/01/2011,15,77,0
07/01/2011,14,56,0
08/01/2011,13,45,0
09/01/2011,13,52,0
10/01/2011,15,68,0
11/01/2011,16,68,0
12/01/2011,16,64,0
13/01/2011,15,52,0
14/01/2011,14,63,0
15/01/2011,15,68,0
16/01/2011,16,64,0
17/01/2011,14,39,0
18/01/2011,14,52,0
19/01/2011,13,56,0
20/01/2011,13,52,0
21/01/2011,10,42,0
22/01/2011,10,59,0
23/01/2011,13,67,0
24/01/2011,10,72,0
25/01/2011,12,72,0
26/01/2011,12,45,0
27/01/2011,13,55,0
28/01/2011,12,40,0
29/01/2011,12,63,0
30/01/2011,13,44,0
31/01/2011,11,44,0
01/02/2011,13,48,0
02/02/2011,14,48,0
03/02/2011,14,52,0
04/02/2011,14,56,0
05/02/2011,15,49,0
06/02/2011,13,51,0
07/02/2011,13,51,0
08/02/2011,15,63,0
09/02/2011,12,67,0
10/02/2011,12,55,0
11/02/2011,13,52,0
12/02/2011,13,52,0
13/02/2011,11,52,0
14/02/2011,13,59,0
15/02/2011,13,48,0
16/02/2011,13,49,0
17/02/2011,13,53,0
18/02/2011,13,56,0
19/02/2011,15,72,0
20/02/2011,14,56,0
21/02/2011,14,59,0
22/02/2011,15,67,0
23/02/2011,15,59,0
24/02/2011,15,56,0
25/02/2011,15,40,0
26/02/2011,14,34,0
27/02/2011,13,64,0
28/02/2011,14,51,0
01/03/2011,14,55,0
02/03/2011,13,48,0
03/03/2011,12,51,0
04/03/2011,11,55,0
05/03/2011,10,55,0
06/03/2011,10,62,0
07/03/2011,10,52,0
08/03/2011,12,45,0
09/03/2011,11,54,0
10/03/2011,13,59,0
11/03/2011,14,72,0
12/03/2011,13,63,0
13/03/2011,8,62,0
14/03/2011,8,54,0
15/03/2011,8,45,0
16/03/2011,11,48,0
17/03/2011,13,45,0
18/03/2011,14,64,0
19/03/2011,14,72,0
20/03/2011,13,64,0
21/03/2011,14,56,0
22/03/2011,15,72,0
23/03/2011,14,55,0
24/03/2011,13,64,0
25/03/2011,14,49,0
26/03/2011,13,48,0
27/03/2011,14,64,0
28/03/2011,14,59,0
29/03/2011,15,64,0
30/03/2011,16,59,0
31/03/2011,15,41,0
01/04/2011,14,60,0
02/04/2011,14,63,0
03/04/2011,14,56,0
04/04/2011,14,49,0
05/04/2011,13,52,0
06/04/2011,13,63,0
07/04/2011,15,63,0
08/04/2011,16,50,0
09/04/2011,14,60,0
10/04/2011,16,56,0
11/04/2011,15,59,0
12/04/2011,16,44,0
13/04/2011,18,36,0
14/04/2011,17,57,0
15/04/2011,16,56,0
16/04/2011,16,64,0
17/04/2011,17,68,0
18/04/2011,16,60,0
19/04/2011,16,64,0
20/04/2011,14,49,0
21/04/2011,15,46,0
22/04/2011,15,46,0
23/04/2011,14,52,0
24/04/2011,15,46,0
25/04/2011,16,49,0
26/04/2011,17,56,0
27/04/2011,15,56,0
28/04/2011,16,64,0
29/04/2011,15,56,0
30/04/2011,14,60,0
01/05/2011,13,59,0
02/05/2011,15,52,0
03/05/2011,14,52,0
04/05/2011,16,60,0
05/05/2011,15,60,0
06/05/2011,15,49,0
07/05/2011,15,53,0
08/05/2011,16,52,0
09/05/2011,18,56,0
10/05/2011,18,57,0
11/05/2011,17,65,0
12/05/2011,18,47,0
13/05/2011,19,47,0
14/05/2011,20,53,0
15/05/2011,19,78,0
16/05/2011,18,65,0
17/05/2011,17,61,0
18/05/2011,18,68,0
19/05/2011,17,53,0
20/05/2011,17,53,0
21/05/2011,17,73,0
22/05/2011,17,68,0
23/05/2011,18,50,0
24/05/2011,20,53,0
25/05/2011,20,73,0
26/05/2011,19,64,0
27/05/2011,19,60,0
28/05/2011,19,65,0
29/05/2011,18,60,0
30/05/2011,17,53,0
31/05/2011,18,64,0
01/06/2011,18,52,0
02/06/2011,17,57,0
03/06/2011,17,57,0
04/06/2011,18,56,0
05/06/2011,18,57,0
06/06/2011,19,57,0
07/06/2011,18,49,0
08/06/2011,19,64,0
09/06/2011,19,53,0
10/06/2011,18,60,0
11/06/2011,18,56,0
12/06/2011,19,53,0
13/06/2011,18,51,0
14/06/2011,20,34,0
15/06/2011,20,40,0
16/06/2011,19,61,0
17/06/2011,20,53,0
18/06/2011,19,33,0
19/06/2011,19,22,0
20/06/2011,21,11,0
21/06/2011,21,36,0
22/06/2011,22,44,0
23/06/2011,20,41,0
24/06/2011,20,50,0
25/06/2011,17,51,0
26/06/2011,18,61,0
27/06/2011,18,57,0
28/06/2011,20,53,0
29/06/2011,20,57,0
30/06/2011,20,53,0
01/07/2011,19,50,0
02/07/2011,19,50,0
03/07/2011,19,50,0
04/07/2011,20,53,0
05/07/2011,20,61,0
06/07/2011,21,65,0
07/07/2011,20,53,0
08/07/2011,20,57,0
09/07/2011,20,54,0
10/07/2011,21,47,0
11/07/2011,21,48,0
12/07/2011,21,47,0
13/07/2011,21,53,0
14/07/2011,20,60,0
15/07/2011,20,57,0
16/07/2011,20,57,0
17/07/2011,20,61,0
18/07/2011,19,50,0
19/07/2011,20,51,0
20/07/2011,20,57,0
21/07/2011,20,60,0
22/07/2011,21,57,0
23/07/2011,20,47,0
24/07/2011,20,50,0
25/07/2011,20,57,0
26/07/2011,21,54,0
27/07/2011,20,57,0
28/07/2011,19,61,0
29/07/2011,20,57,0
30/07/2011,21,61,0
31/07/2011,21,47,0
01/08/2011,20,54,0
02/08/2011,20,54,0
03/08/2011,22,57,0
04/08/2011,21,54,0
05/08/2011,22,51,0
06/08/2011,21,54,0
07/08/2011,22,61,0
08/08/2011,22,35,0
09/08/2011,22,58,0
10/08/2011,21,30,0
11/08/2011,20,11,0
12/08/2011,22,18,0
13/08/2011,22,61,0
14/08/2011,22,57,0
15/08/2011,22,50,0
16/08/2011,22,39,0
17/08/2011,22,61,0
18/08/2011,21,51,0
19/08/2011,22,61,0
20/08/2011,21,50,0
21/08/2011,20,50,0
22/08/2011,21,51,0
23/08/2011,21,50,0
24/08/2011,20,51,0
25/08/2011,21,57,0
26/08/2011,21,54,0
27/08/2011,21,65,0
28/08/2011,22,65,0
29/08/2011,20,61,0
30/08/2011,21,61,0
31/08/2011,22,57,0
01/09/2011,21,57,0
02/09/2011,20,54,0
03/09/2011,20,53,0
04/09/2011,22,61,0
05/09/2011,21,53,0
06/09/2011,22,39,0
07/09/2011,25,25,0
08/09/2011,24,34,0
09/09/2011,21,61,0
10/09/2011,22,58,0
11/09/2011,23,51,0
12/09/2011,21,48,0
13/09/2011,22,51,0
14/09/2011,21,48,0
15/09/2011,21,57,0
16/09/2011,21,41,0
17/09/2011,20,54,0
18/09/2011,22,47,0
19/09/2011,22,53,0
20/09/2011,22,51,0
21/09/2011,22,50,0
22/09/2011,21,47,0
23/09/2011,21,45,0
24/09/2011,21,54,0
25/09/2011,20,65,0
26/09/2011,21,64,0
27/09/2011,21,69,0
28/09/2011,21,64,0
29/09/2011,21,69,0
30/09/2011,22,65,0
01/10/2011,22,58,0
02/10/2011,20,47,0
03/10/2011,23,61,0
04/10/2011,23,51,0
05/10/2011,23,30,0
06/10/2011,23,13,0
07/10/2011,23,34,0
08/10/2011,22,53,0
09/10/2011,22,57,0
10/10/2011,21,54,0
11/10/2011,20,65,0
12/10/2011,20,53,0
13/10/2011,19,54,0
14/10/2011,19,50,0
15/10/2011,20,51,0
16/10/2011,21,54,0
17/10/2011,22,54,0
18/10/2011,21,48,0
